Date,SMR,OKLO,NNE,NNE weight,OKLO weight,SMR weight,weightedReturn
2024-06-03,0.8739977679868666,0.922542228737892,0.8567604116630414,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8844334694625999
2024-06-04,0.9148099494602616,0.9224972798724109,1.0468749545980252,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9613940613102325
2024-06-05,1.116045836757327,1.0606768350385964,1.1597015227047798,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.112141398166901
2024-06-06,0.9845956500453515,0.9328932233100241,0.9845559992466341,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9673482908673365
2024-06-07,1.0534549991308757,0.9846699094594151,0.882352930176767,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9734926129223526
2024-06-10,1.074257473655337,1.083832308656964,1.094814795034903,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0843015257824011
2024-06-11,1.0322580326182973,1.0441988519447527,1.0135317870689116,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0299962238773204
2024-06-12,0.9430803318403435,1.079365080966951,0.9479305903333327,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.990125334380209
2024-06-13,0.9964497356629171,1.0009804146145918,0.9957746854402607,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9977349452392563
2024-06-14,0.9726840268614488,0.9265426055633866,1.3253181977444322,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0748482767230891
2024-06-17,1.0378510910255982,0.9936574609540433,1.0042689394174567,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0119258304656993
2024-06-18,1.1223529366885914,1.052127738795493,1.2327311976163209,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.1357372910334682
2024-06-20,0.9968553738898166,0.9443882536256739,1.3120689453891574,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0844375243015492
2024-06-21,1.0536277830291705,0.9657387912637716,1.0335084931839544,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0176250224922987
2024-06-24,1.0,1.0554323696923587,1.3267642369089554,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.1273988688671046
